"id","containerId","temperature","humidity","mq4","mq135","createdAt"
"157f53f6-e56d-45b0-a3e8-03876d2c1cf8","1",27.1,75.6,859,4095,"2025-05-20T10:58:24.042Z"
"af71c4d0-ef3f-4f0b-9e2a-cbc3cc3c7ed8","1",27.2,76.3,986,4095,"2025-05-20T10:58:54.339Z"
"2131eada-f0fd-4108-a903-7745059cff72","1",27.1,76.1,864,4095,"2025-05-20T10:59:24.642Z"
"93a0c325-184e-495f-837b-139fcf4acb66","1",27.2,76.2,903,4095,"2025-05-20T10:59:51.537Z"
"b32298a8-149c-488f-bb20-2d11ffe571cc","1",27.2,76,907,4095,"2025-05-20T11:00:21.782Z"
"cfb0e527-3786-4886-aea7-fd44ab274451","1",27,76,863,4095,"2025-05-20T11:00:52.061Z"
"97ed7b40-3008-4108-a79e-dc550e494763","1",27,76.5,759,0,"2025-05-20T11:01:22.405Z"
"53d1159a-2fc2-49dd-9f7f-7b6d66d3cd60","1",27,77.4,787,3071,"2025-05-20T11:01:52.717Z"
"fb0bb30f-b90f-43f3-bdff-c761bc8c36a7","1",27.2,76.6,783,0,"2025-05-20T11:02:23.206Z"
"1e278ff0-e01b-47dd-92c1-ea00b26d8010","1",27.1,76.2,765,4095,"2025-05-20T11:02:53.519Z"
"3e5e343f-8237-4434-8ace-35c76d8658c7","1",27.1,76.4,775,4095,"2025-05-20T11:03:23.829Z"
"5e273e5d-b13c-47d4-b3ad-0a141971aae5","1",27.1,77.3,832,1587,"2025-05-20T11:03:54.135Z"
"234aecc6-7f7b-4461-8681-23fa0cf561d4","1",28,78.4,835,4095,"2025-05-20T11:04:24.476Z"
"2f649f6a-7f31-4221-b627-0021f03b0f55","1",29.5,78.8,798,4095,"2025-05-20T11:04:54.791Z"
"560b7f46-4503-4822-bfd4-5eba04234c0d","1",30.8,75.8,785,0,"2025-05-20T11:05:25.098Z"
"65395b9e-8569-4867-b3eb-fca18a90bfc4","1",30.7,66.2,758,0,"2025-05-20T11:05:55.374Z"
"4cce2471-79c3-4e25-a3e0-9bb9d3ccc433","1",29.9,66.4,767,0,"2025-05-20T11:06:25.727Z"
"77f2aede-2599-4005-aaec-1b99abd19eab","1",29.1,68.5,767,0,"2025-05-20T11:06:56.035Z"
"a5ceba67-ac8c-4f33-b906-0ea2ac40a951","1",28.4,70.6,775,4095,"2025-05-20T11:07:26.318Z"
"7b4de638-260a-4188-810a-9756d158cc19","1",28,72.6,784,4095,"2025-05-20T11:07:56.644Z"
"dcb31466-ea7e-4aa0-a7be-e8f3a74d3b51","1",25.8,81.6,17,4095,"2025-05-20T12:02:36.540Z"
"02821802-791f-4036-bd13-4b2162590038","1",25.8,81.5,1022,0,"2025-05-20T12:03:08.150Z"
"16a170ff-4434-4293-8eee-a4b0df5cee81","1",25.9,81.3,897,0,"2025-05-20T12:03:38.422Z"
"20c3df9f-d0ef-4ff0-b25b-457a250ef3ac","1",26,81,862,4095,"2025-05-20T12:04:08.980Z"
"9c7f64bb-3dba-4a24-9eca-6480c5366f44","1",27,77.8,902,0,"2025-05-20T12:20:45.144Z"
"e4ab7139-7303-426e-9658-5f4e62dc1112","1",27.1,77.4,847,4095,"2025-05-20T12:21:15.450Z"
"d41165eb-5210-4e39-aded-09f4f576b96f","1",27.1,76.9,781,2864,"2025-05-20T12:21:45.761Z"
"40a35285-2946-4185-833b-1eda44ee3a6c","1",27.1,76.9,787,4095,"2025-05-20T12:22:16.249Z"
"62c9eb45-c630-423f-b2bd-5a50f33a3dae","1",27.1,76.8,767,4095,"2025-05-20T12:22:46.585Z"
"ef3dfc00-e130-419d-953e-b08b9270c016","1",27.1,77.8,774,4095,"2025-05-20T12:23:17.102Z"
"75417043-4999-4e1a-830e-88d9bcd151bd","1",27,76.9,781,0,"2025-05-20T12:23:47.415Z"
"52e862b2-c78f-44dc-b9b2-09060bbfca3a","1",27,77,768,0,"2025-05-20T12:24:17.725Z"
